user_id,cluster,cluster_name,cluster_profile,total_spend,avg_spend,purchase_count,unique_sessions,categories_purchased,brands_purchased,cart_to_purchase_ratio,view_to_purchase_ratio
543011250.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543023712.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543091275.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,3.0
543108146.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
543109619.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
543202815.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
543272936.0,0,Efficient_Buyers,"High conversion, moderate spending",130.76,130.76,1.0,1,1,1,0.0,1.0
543277139.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,2.0
543281108.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,2,1,4,0.0,6.0
543281287.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543296909.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
543300003.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
543305506.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
543336838.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
543356214.0,0,Efficient_Buyers,"High conversion, moderate spending",130.76,130.76,1.0,1,1,1,0.5,1.0
543364311.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,3,0.0,6.0
543367069.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,2.0
543426950.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
543452743.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543468900.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,3,0.0,16.0
543532388.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,3.0
543572506.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,3.0
543624132.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,3,1,1,0.0,6.0
543662293.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,2.0
543663281.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,2,1,1,0.0,2.0
